item,group,pass,own_exit_excess,final_target_exit3_excess,raw_excess,fit01_excess
confirmation-127,dg023,2,0.0,-0.014767932489451477,0.0,-0.012658227848101266
confirmation-128,dg023,2,1.0,-0.002109704641350211,0.0,-0.002109704641350211
confirmation-129,dg006,2,-0.0031645569620253164,0.0,0.0,0.0
confirmation-130,dg006,2,0.0,0.0,0.0,0.0
confirmation-131,dg006,2,0.0,0.0,0.0,0.0
confirmation-132,dg006,2,0.0,0.0,0.0,0.0
confirmation-133,dg006,2,0.0,0.0,0.0,0.0
confirmation-134,dg006,2,0.0,0.0,0.0,0.0
confirmation-135,dg006,2,0.0,0.0,0.0,0.0
confirmation-136,dg006,2,0.0,0.0,0.0,0.0
confirmation-137,dg006,2,0.0,0.0,0.0,0.0
confirmation-138,dg006,2,0.0,0.0,0.0,0.0
confirmation-139,dg006,2,0.0,0.0,0.0,0.0
confirmation-140,dg006,2,0.0,0.0,0.0,0.0
confirmation-141,dg006,2,0.0,0.0,0.0,0.0
confirmation-142,dg006,2,0.0,0.0,0.0,0.0
confirmation-143,dg006,2,0.0,0.0,0.0,0.0
confirmation-144,dg006,2,0.0,0.0,0.0,0.0
confirmation-145,dg006,2,0.0,0.0,0.0,0.0
confirmation-146,dg006,2,1.0,0.0,0.75,0.0
confirmation-147,dg024,2,0.5812236286919832,0.0,0.0,0.0
confirmation-148,dg024,2,0.9947257383966245,0.07067510548523206,0.5,0.23945147679324894
confirmation-149,dg024,2,0.6592827004219409,0.3333333333333333,0.0,0.08333333333333333
confirmation-150,dg024,2,0.5833333333333334,0.0,0.0,0.0
confirmation-151,dg025,2,0.0,0.0,0.08333333333333333,0.0
confirmation-152,dg025,2,0.0,0.0,0.0,0.0
confirmation-153,dg026,2,0.0,0.0,0.0,0.0
confirmation-154,dg026,2,0.25,0.0,0.0,0.0
confirmation-155,dg027,2,0.4166666666666667,0.0,0.16666666666666666,0.0
confirmation-156,dg027,2,0.08333333333333333,-0.010548523206751054,0.0,-0.007383966244725738
confirmation-157,dg028,2,0.8333333333333334,-0.002109704641350211,0.6613924050632911,0.16561181434599156
confirmation-158,dg028,2,0.5833333333333334,-0.0010548523206751054,0.49261603375527424,0.08333333333333333
confirmation-159,dg003,2,0.9947257383966245,-0.010548523206751054,0.5,-0.010548523206751054
confirmation-160,dg003,2,-0.010548523206751054,0.0,0.0,0.0
confirmation-001,dg001,3,0.0,0.0,0.0,0.0
confirmation-002,dg001,3,0.0,0.0,0.0,0.0
confirmation-003,dg002,3,0.9746835443037974,-0.006329113924050633,0.9092827004219409,-0.006329113924050633
confirmation-004,dg002,3,0.0,0.0,0.0,0.0
confirmation-005,dg003,3,0.9831223628691983,0.24578059071729957,0.9873417721518988,-0.0031645569620253164
confirmation-006,dg003,3,0.0,-0.0031645569620253164,-0.0010548523206751054,-0.004219409282700422
confirmation-007,dg004,3,0.0,0.0,0.0,0.0
confirmation-008,dg004,3,0.16244725738396623,0.0,0.0,0.0
confirmation-009,dg005,3,0.0,0.0,0.0,-0.002109704641350211
confirmation-010,dg005,3,-0.002109704641350211,0.0,0.0,0.0
confirmation-011,dg003,3,0.0,0.0,0.0,0.0
confirmation-012,dg003,3,-0.04746835443037975,-0.0031645569620253164,-0.008438818565400843,0.0
confirmation-013,dg003,3,0.0,0.0,0.0,0.0
confirmation-014,dg003,3,-0.0189873417721519,-0.004219409282700422,0.0,-0.002109704641350211
confirmation-015,dg003,3,0.0,0.0,0.0,0.0
confirmation-016,dg003,3,-0.05063291139240506,0.0,-0.011603375527426161,0.0
confirmation-017,dg006,3,1.0,0.0,0.8333333333333334,0.0
confirmation-018,dg006,3,0.4166666666666667,0.0,0.08333333333333333,0.0
confirmation-019,dg006,3,0.9852320675105485,0.0,0.4103375527426161,0.0
confirmation-020,dg006,3,0.9989451476793249,0.0,0.5,0.0
confirmation-021,dg006,3,0.0,0.0,0.0,0.0
confirmation-022,dg006,3,0.4873417721518987,0.0,-0.0010548523206751054,0.0
confirmation-023,dg006,3,0.5664556962025317,0.0,0.08122362869198312,0.0
confirmation-024,dg006,3,0.819620253164557,0.0,0.0,0.0
confirmation-025,dg006,3,1.0,0.0,0.0,0.0
confirmation-026,dg006,3,0.9166666666666666,0.0,1.0,0.0
confirmation-027,dg006,3,1.0,0.0,0.0,0.0
confirmation-028,dg006,3,1.0,0.0,1.0,0.0
confirmation-029,dg006,3,0.32172995780590713,0.0,0.0,0.0
confirmation-030,dg006,3,0.8913502109704641,0.0,0.08333333333333333,0.0
confirmation-031,dg006,3,0.0,0.0,0.0,0.0
confirmation-032,dg006,3,0.0,0.0,0.0,0.0
confirmation-033,dg007,3,1.0,0.0,0.0,0.0
confirmation-034,dg007,3,1.0,0.4166666666666667,0.4166666666666667,0.0
confirmation-035,dg007,3,0.5833333333333334,0.0,0.0,0.0
confirmation-036,dg007,3,0.08333333333333333,0.0,0.0,0.0
confirmation-037,dg007,3,0.5727848101265823,0.0,0.0,0.0
confirmation-038,dg007,3,0.9124472573839663,0.0,0.0,0.0
confirmation-039,dg007,3,0.5770042194092827,0.0,0.0,0.0
confirmation-040,dg007,3,0.16666666666666666,0.0,0.0,0.0
confirmation-041,dg007,3,0.5833333333333334,0.0,0.25,0.0
confirmation-042,dg007,3,0.9873417721518988,0.0,0.0,0.0
confirmation-043,dg007,3,0.75,0.0,0.0,0.0
confirmation-044,dg007,3,0.24261603375527427,0.0,0.0,0.0
confirmation-045,dg007,3,0.5833333333333334,0.0,0.0,0.0
confirmation-046,dg007,3,1.0,0.0,0.0,0.0
confirmation-047,dg007,3,-0.010548523206751054,0.0,0.0,0.0
