position,loop,layers,estimator_a,estimator_b,n_items,n_layers,agreement,ci_low,ci_high
-1,2,41-47,Logit lens,Local J-Lens,148,7,0.5038610038610041,0.4623552123552119,0.5463320463320459
-1,2,41-47,Logit lens,Final J-Lens,148,7,0.048262548262548256,0.02413127413127413,0.07722007722007722
-1,2,41-47,Logit lens,Logit lens,148,7,1.0,1.0,1.000000000000001
-1,2,41-47,Logit lens,Actual loop exit,148,7,0.44305019305019305,0.38320463320463294,0.5038610038610036
-1,2,41-47,Logit lens,Actual final exit,148,7,0.33976833976833964,0.28088803088803077,0.4005791505791505
-1,2,41-47,Actual loop exit,Local J-Lens,148,7,0.3185328185328183,0.271235521235521,0.3677606177606175
-1,2,41-47,Actual loop exit,Final J-Lens,148,7,0.06177606177606177,0.03185328185328185,0.09652509652509654
-1,2,41-47,Actual loop exit,Logit lens,148,7,0.44305019305019305,0.38320463320463294,0.5038610038610036
-1,2,41-47,Actual loop exit,Actual loop exit,148,7,1.0,1.0,1.000000000000001
-1,2,41-47,Actual loop exit,Actual final exit,148,7,0.7297297297297297,0.6554054054054055,0.7972972972972977
-1,2,41-47,Actual final exit,Local J-Lens,148,7,0.2635135135135134,0.2162162162162161,0.31274131274131256
-1,2,41-47,Actual final exit,Final J-Lens,148,7,0.058880308880308874,0.028957528957528955,0.09362934362934364
-1,2,41-47,Actual final exit,Logit lens,148,7,0.33976833976833964,0.28088803088803077,0.4005791505791505
-1,2,41-47,Actual final exit,Actual loop exit,148,7,0.7297297297297297,0.6554054054054055,0.7972972972972977
-1,2,41-47,Actual final exit,Actual final exit,148,7,1.0,1.0,1.000000000000001
-1,2,41-48,Local J-Lens,Local J-Lens,148,8,1.0,1.0,1.000000000000001
-1,2,41-48,Local J-Lens,Final J-Lens,148,8,0.032939189189189186,0.015202702702702704,0.05405405405405406
-1,2,41-48,Local J-Lens,Logit lens,148,8,0.5658783783783784,0.5295608108108106,0.6030405405405405
-1,2,41-48,Local J-Lens,Actual loop exit,148,8,0.40371621621621623,0.36233108108108086,0.44679054054054035
-1,2,41-48,Local J-Lens,Actual final exit,148,8,0.3217905405405405,0.27618243243243246,0.3682432432432431
-1,2,41-48,Final J-Lens,Local J-Lens,148,8,0.032939189189189186,0.015202702702702704,0.05405405405405406
-1,2,41-48,Final J-Lens,Final J-Lens,148,8,1.0,1.0,1.000000000000001
-1,2,41-48,Final J-Lens,Logit lens,148,8,0.04391891891891892,0.02195945945945946,0.07010135135135134
-1,2,41-48,Final J-Lens,Actual loop exit,148,8,0.05574324324324324,0.027871621621621625,0.08783783783783784
-1,2,41-48,Final J-Lens,Actual final exit,148,8,0.05320945945945946,0.02618243243243243,0.08530405405405406
-1,2,41-48,Logit lens,Local J-Lens,148,8,0.5658783783783784,0.5295608108108106,0.6030405405405405
-1,2,41-48,Logit lens,Final J-Lens,148,8,0.04391891891891892,0.02195945945945946,0.07010135135135134
-1,2,41-48,Logit lens,Logit lens,148,8,1.0,1.0,1.000000000000001
-1,2,41-48,Logit lens,Actual loop exit,148,8,0.512668918918919,0.46030405405405395,0.5658783783783783
-1,2,41-48,Logit lens,Actual final exit,148,8,0.3885135135135135,0.33192567567567555,0.44679054054054035
-1,2,41-48,Actual loop exit,Local J-Lens,148,8,0.40371621621621623,0.36233108108108086,0.44679054054054035
-1,2,41-48,Actual loop exit,Final J-Lens,148,8,0.05574324324324324,0.027871621621621625,0.08783783783783784
-1,2,41-48,Actual loop exit,Logit lens,148,8,0.512668918918919,0.46030405405405395,0.5658783783783783
-1,2,41-48,Actual loop exit,Actual loop exit,148,8,1.0,1.0,1.000000000000001
-1,2,41-48,Actual loop exit,Actual final exit,148,8,0.7297297297297297,0.6554054054054055,0.7972972972972977
-1,2,41-48,Actual final exit,Local J-Lens,148,8,0.3217905405405405,0.27618243243243246,0.3682432432432431
-1,2,41-48,Actual final exit,Final J-Lens,148,8,0.05320945945945946,0.02618243243243243,0.08530405405405406
-1,2,41-48,Actual final exit,Logit lens,148,8,0.3885135135135135,0.33192567567567555,0.44679054054054035
-1,2,41-48,Actual final exit,Actual loop exit,148,8,0.7297297297297297,0.6554054054054055,0.7972972972972977
-1,2,41-48,Actual final exit,Actual final exit,148,8,1.0,1.0,1.000000000000001
-1,2,48,Local J-Lens,Local J-Lens,148,1,1.0,1.0,1.000000000000001
-1,2,48,Local J-Lens,Final J-Lens,148,1,0.013513513513513514,0.0,0.033783783783783786
-1,2,48,Local J-Lens,Logit lens,148,1,1.0,1.0,1.000000000000001
-1,2,48,Local J-Lens,Actual loop exit,148,1,1.0,1.0,1.000000000000001
-1,2,48,Local J-Lens,Actual final exit,148,1,0.7297297297297297,0.6554054054054055,0.7972972972972977
