position,loop,layers,lens,target,n_items,rank_kl_retained,top1_agreement,top1_ci_low,top1_ci_high,actual_token_hit10,actual_token_hit10_ci_low,actual_token_hit10_ci_high,actual_token_hit100,actual_token_hit100_ci_low,actual_token_hit100_ci_high,actual_token_mrr,actual_token_mrr_ci_low,actual_token_mrr_ci_high,actual_token_mean_log10_rank,actual_token_mean_log10_rank_ci_low,actual_token_mean_log10_rank_ci_high,kl_lens_to_actual,kl_lens_to_actual_ci_low,kl_lens_to_actual_ci_high
-1,3,1-47,Logit lens,actual_final_exit,148,True,0.14735480161012077,0.12047153536515239,0.17567567567567569,0.32029902242668196,0.2814836112708453,0.35925819436457734,0.5060379528464636,0.4670787809085682,0.544565842438183,0.20740087428001816,0.17721692092737296,0.23843094234676102,1.988408143835678,1.85677670366621,2.1217634862117443,7.76849365234375,7.442483717766967,8.093845581686177
-1,3,41-47,Local J-Lens,actual_current_exit,148,True,0.33687258687258675,0.2876447876447874,0.38803088803088776,0.6023166023166023,0.5472972972972973,0.6563706563706564,0.8204633204633204,0.7731660231660231,0.8658301158301158,0.43028960194682997,0.3809613622222927,0.48004613370746924,0.9985153288555387,0.8563629353209291,1.1477166400641976,5.613527774810791,5.039783953678971,6.188532266277519
-1,3,41-47,Local J-Lens,actual_final_exit,148,True,0.3330115830115829,0.28281853281853264,0.3841698841698839,0.6138996138996138,0.5598455598455598,0.666988416988417,0.8252895752895753,0.7789575289575288,0.8696911196911196,0.4303809259466037,0.38027149858454223,0.479650848777986,0.9692068234013728,0.8354194524685851,1.1113649327069286,5.940578460693359,5.342437686776189,6.540797747299074
-1,3,41-47,Final J-Lens,actual_current_exit,148,False,0.02702702702702702,0.013513513513513513,0.04343629343629344,,,,,,,,,,,,,,,
-1,3,41-47,Final J-Lens,actual_final_exit,148,True,0.024131274131274128,0.010617760617760617,0.04054054054054054,0.34652509652509644,0.2857142857142857,0.4083011583011583,0.694980694980695,0.6245173745173745,0.7615830115830116,0.11433375335858745,0.09177955490416531,0.13861521011063838,1.6303844333514697,1.472381742046253,1.7977579214343422,7.285454750061035,6.89991201206639,7.6692216533261375
-1,3,41-47,Logit lens,actual_current_exit,148,False,0.4845559845559846,0.4208494208494206,0.548262548262548,,,,,,,,,,,,,,,
-1,3,41-47,Logit lens,actual_final_exit,148,True,0.46911196911196923,0.40347490347490317,0.5347490347490343,0.7451737451737451,0.6881998069498069,0.7992277992277992,0.9208494208494208,0.8899613899613898,0.9488416988416988,0.5623161348352811,0.5026967195810074,0.6208814178987675,0.6004191667742518,0.4995827362006479,0.7063381759976084,3.209130048751831,2.8022890145865245,3.646327903597439
-1,3,41-48,Local J-Lens,actual_current_exit,148,True,0.4197635135135135,0.3766891891891889,0.46452702702702686,0.652027027027027,0.6038851351351351,0.6993243243243245,0.8429054054054054,0.8015202702702702,0.8826013513513513,0.5015034017034763,0.4583411919445062,0.5450403669940356,0.8737009127485965,0.7493175684058129,1.0042520600561728,4.91183614730835,4.409810914124388,5.414965635764639
-1,3,41-48,Local J-Lens,actual_final_exit,148,True,0.39780405405405406,0.35050675675675674,0.44510135135135104,0.660472972972973,0.6123310810810811,0.7077702702702702,0.8471283783783784,0.8065878378378377,0.8859797297297296,0.48946103167474975,0.44417905673521985,0.5340933575148832,0.8579483954883875,0.7401743983378696,0.9835822797444127,5.208723545074463,4.686142156567626,5.733206935395564
-1,3,41-48,Final J-Lens,actual_current_exit,148,False,0.02533783783783784,0.01266891891891892,0.04054054054054054,,,,,,,,,,,,,,,
-1,3,41-48,Final J-Lens,actual_final_exit,148,True,0.022804054054054054,0.010135135135135136,0.03800675675675676,0.31503378378378377,0.26182432432432434,0.3690878378378379,0.6570945945945946,0.5920608108108109,0.7187500000000001,0.10604454331249591,0.08555682912166725,0.12823282557982066,1.715106227438468,1.5674402331934036,1.8707074619445596,7.5107526779174805,7.11717867810984,7.903246400203254
-1,3,41-48,Logit lens,actual_current_exit,148,False,0.5489864864864865,0.49324324324324315,0.6047297297297297,,,,,,,,,,,,,,,
-1,3,41-48,Logit lens,actual_final_exit,148,True,0.5168918918918919,0.45608108108108086,0.5768581081081083,0.7753378378378378,0.7246621621621622,0.8234797297297297,0.9307432432432432,0.9037162162162161,0.9552364864864864,0.6049043394523425,0.5502608838563653,0.6582512142569522,0.5352591959396567,0.4456427344899074,0.6300650542471363,2.818706512451172,2.4635810129923397,3.201770055445062
-1,3,48,Local J-Lens,actual_current_exit,148,True,1.0,1.0,1.000000000000001,1.0,0.9999999999999997,1.0,1.0,0.9999999999999997,1.0,1.0,0.9999999999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,3,48,Local J-Lens,actual_final_exit,148,True,0.8513513513513513,0.7905405405405409,0.9054054054054059,0.9864864864864865,0.966216216216216,1.0,1.0,0.9999999999999997,1.0,0.9030217717717719,0.8624235172672672,0.939846096096096,0.0791394000974907,0.046093749746691934,0.11732338374480336,0.08574362844228745,0.06631215539079209,0.10744278279797906
-1,3,48,Final J-Lens,actual_current_exit,148,False,0.013513513513513514,0.0,0.033783783783783786,,,,,,,,,,,,,,,
-1,3,48,Final J-Lens,actual_final_exit,148,True,0.013513513513513514,0.0,0.033783783783783786,0.0945945945945946,0.0472972972972973,0.14189189189189189,0.3918918918918919,0.31756756756756754,0.47297297297297297,0.04802007298985502,0.027272145593866755,0.0727422661734925,2.3081587860474597,2.1476054386128944,2.466483187446714,9.087838172912598,8.595426934957505,9.605791448016426
-1,3,48,Logit lens,actual_current_exit,148,False,1.0,1.0,1.000000000000001,,,,,,,,,,,,,,,
