model,seed,task,method_or_contrast,source_index,pass_one_based,physical_block_one_based,native_pass_end,ouro_identity_reference,within_pass_coda_intervention,own,control,excess
ouro,fixed,multihop,raw,93,2,46,False,False,False,0.4090909090909091,0.04554737438048153,0.36354353471042755
ouro,fixed,multihop,raw,94,2,47,False,False,False,0.3068181818181818,0.07371233470283672,0.23310584711534513
ouro,fixed,multihop,raw,95,2,48,True,False,False,0.2840909090909091,0.0743907607543971,0.20970014833651207
ouro,fixed,multihop,raw,96,3,1,False,False,False,0.2840909090909091,0.04146389002223465,0.24262701906867443
ouro,fixed,multihop,raw,97,3,2,False,False,False,0.14772727272727273,0.013912873648287492,0.13381439907898524
ouro,fixed,multihop,raw,98,3,3,False,False,False,0.06818181818181818,0.0076374326713539754,0.06054438551046421
ouro,fixed,multihop,raw,99,3,4,False,False,False,0.11363636363636363,0.00985002672587476,0.10378633691048886
ouro,fixed,multihop,raw,100,3,5,False,False,False,0.13636363636363635,0.00814625221002426,0.12821738415361209
ouro,fixed,multihop,raw,101,3,6,False,False,False,0.06818181818181818,0.00679196990255335,0.061389848279264816
ouro,fixed,multihop,raw,102,3,7,False,False,False,0.056818181818181816,0.004245302413552073,0.052572879404629756
ouro,fixed,multihop,raw,103,3,8,False,False,False,0.022727272727272728,0.0023770609761111787,0.020350211751161546
ouro,fixed,multihop,raw,104,3,9,False,False,False,0.011363636363636364,0.0018682414374408944,0.009495394926195468
ouro,fixed,multihop,raw,105,3,10,False,False,False,0.0,0.0030709848722060384,-0.0030709848722060384
ouro,fixed,multihop,raw,106,3,11,False,False,False,0.0,0.0018656716417910445,-0.0018656716417910445
ouro,fixed,multihop,raw,107,3,12,False,False,False,0.011363636363636364,0.001865671641791044,0.009497964721845316
ouro,fixed,multihop,raw,108,3,13,False,False,False,0.0,0.0022048846675712342,-0.0022048846675712342
ouro,fixed,multihop,raw,109,3,14,False,False,False,0.045454545454545456,0.0033921302578018993,0.04206241519674356
ouro,fixed,multihop,raw,110,3,15,False,False,False,0.045454545454545456,0.004075695900661978,0.04137884955388348
ouro,fixed,multihop,raw,111,3,16,False,False,False,0.09090909090909091,0.004754121952222357,0.08615496895686856
ouro,fixed,multihop,raw,112,3,17,False,False,False,0.19318181818181818,0.007650281649603224,0.18553153653221488
ouro,fixed,multihop,raw,113,3,18,False,False,False,0.19318181818181818,0.007830325486363478,0.18535149269545464
ouro,fixed,multihop,raw,114,3,19,False,False,False,0.23863636363636365,0.006645649691782662,0.23199071394458093
ouro,fixed,multihop,raw,115,3,20,False,False,False,0.29545454545454547,0.0062960784127676925,0.28915846704177767
ouro,fixed,multihop,raw,116,3,21,False,False,False,0.25,0.006116113646642818,0.24388388635335712
ouro,fixed,multihop,raw,117,3,22,False,False,False,0.22727272727272727,0.006129120766162827,0.22114360650656442
ouro,fixed,multihop,raw,118,3,23,False,False,False,0.20454545454545456,0.004934086718347232,0.19961136782710726
ouro,fixed,multihop,raw,119,3,24,False,False,False,0.11363636363636363,0.003913877845356813,0.10972248579100681
ouro,fixed,multihop,raw,120,3,25,False,False,False,0.18181818181818182,0.009012352414659064,0.17280582940352274
ouro,fixed,multihop,raw,121,3,26,False,False,False,0.20454545454545456,0.011397122777719794,0.1931483317677347
ouro,fixed,multihop,raw,122,3,27,False,False,False,0.20454545454545456,0.011728626416550432,0.19281682812890405
ouro,fixed,multihop,raw,123,3,28,False,False,False,0.18181818181818182,0.012237445955220722,0.16958073586296105
ouro,fixed,multihop,raw,124,3,29,False,False,False,0.13636363636363635,0.011559019903660338,0.124804616459976
ouro,fixed,multihop,raw,125,3,30,False,False,False,0.10227272727272728,0.009351565440439257,0.092921161832288
