task,loop,physical_layer,virtual_index_zero_based,n_items,n_slots,n_concept_clusters,jlens_exit3_hit,jlens_exit3_hit_ci_low,jlens_exit3_hit_ci_high,jlens_exit3_control,jlens_exit3_control_ci_low,jlens_exit3_control_ci_high,jlens_exit3_excess,jlens_exit3_excess_ci_low,jlens_exit3_excess_ci_high,logitlens_hit,logitlens_hit_ci_low,logitlens_hit_ci_high,logitlens_control,logitlens_control_ci_low,logitlens_control_ci_high,logitlens_excess,logitlens_excess_ci_low,logitlens_excess_ci_high,difference,ci_low,ci_high,sim_low,sim_high,cluster_ci_low,cluster_ci_high,cluster_sim_low,cluster_sim_high
order-ops,3,10,105,51,51,14,0.2549019607843137,0.13725490196078433,0.37254901960784315,0.07239819004524886,0.046757164404223235,0.10105580693815988,0.1825037707390649,0.07239819004524886,0.301659125188537,0.0196078431372549,0.0,0.058823529411764705,0.012066365007541479,0.004524886877828055,0.019607843137254905,0.007541478129713426,-0.016591251885369532,0.048265460030165915,0.17496229260935148,0.06787330316742081,0.28959276018099556,-0.05580693815987936,0.4057315233785823,0.08664622015915119,0.27149321266968324,-0.15807418072123947,0.5079987659399424
order-ops,3,11,106,51,51,14,0.2549019607843137,0.13725490196078433,0.37254901960784315,0.07088989441930618,0.04524886877828054,0.09954751131221722,0.18401206636500758,0.07239819004524883,0.30467571644042235,0.0196078431372549,0.0,0.058823529411764705,0.012066365007541479,0.004524886877828055,0.019607843137254905,0.007541478129713426,-0.016591251885369532,0.048265460030165915,0.17647058823529416,0.06938159879336349,0.2926093514328808,-0.05429864253393668,0.407239819004525,0.08894097222222223,0.27307692307692305,-0.1565658850952968,0.5095070615658851
order-ops,3,12,107,51,51,14,0.2549019607843137,0.13725490196078433,0.37254901960784315,0.07239819004524886,0.048265460030165915,0.09954751131221719,0.1825037707390649,0.07088989441930615,0.30316742081447967,0.0196078431372549,0.0,0.058823529411764705,0.004524886877828055,0.0,0.010558069381598794,0.015082956259426851,-0.006033182503770739,0.05429864253393665,0.16742081447963805,0.060331825037707384,0.28355957767722473,-0.06334841628959278,0.3981900452488689,0.08481262327416174,0.25874125874125875,-0.1656156588509529,0.500457287810229
order-ops,3,13,108,51,51,14,0.2549019607843137,0.13725490196078433,0.37254901960784315,0.061840120663650085,0.0392156862745098,0.08748114630467571,0.19306184012066374,0.08144796380090497,0.3137254901960785,0.058823529411764705,0.0,0.13725490196078433,0.00904977375565611,0.0030165912518853697,0.016591251885369532,0.049773755656108594,-0.006033182503770739,0.12066365007541478,0.14328808446455504,0.028657616892910995,0.2624434389140272,-0.0874811463046758,0.3740573152337859,0.07692307692307693,0.21116138763197587,-0.1897483888660359,0.476324557795146
order-ops,3,14,109,51,51,14,0.2549019607843137,0.13725490196078433,0.37254901960784315,0.06787330316742082,0.04374057315233786,0.09351432880844647,0.18702865761689302,0.07692307692307693,0.30618401206636503,0.0196078431372549,0.0,0.058823529411764705,0.00904977375565611,0.0030165912518853697,0.016591251885369532,0.010558069381598796,-0.015082956259426848,0.054298642533936646,0.17647058823529418,0.07088989441930615,0.2926093514328808,-0.05429864253393665,0.407239819004525,0.08695497336801683,0.2727272727272727,-0.15656588509529676,0.5095070615658851
order-ops,3,15,110,51,51,14,0.23529411764705882,0.11764705882352941,0.3529411764705882,0.07692307692307694,0.049773755656108594,0.10859728506787332,0.15837104072398192,0.05279034690799396,0.27300150829562597,0.0,0.0,0.0,0.004524886877828055,0.0,0.010558069381598794,-0.004524886877828055,-0.010558069381598794,0.0,0.16289592760181001,0.0588235294117647,0.277526395173454,-0.06787330316742082,0.3936651583710409,0.059613833746898263,0.27747252747252743,-0.17014054572878093,0.495932400932401
order-ops,3,16,111,51,51,14,0.27450980392156865,0.1568627450980392,0.3921568627450981,0.0799396681749623,0.052790346907993974,0.11010558069381601,0.19457013574660642,0.07993966817496229,0.3167420814479638,0.0,0.0,0.0,0.004524886877828055,0.0,0.010558069381598794,-0.004524886877828055,-0.010558069381598794,0.0,0.19909502262443446,0.08597285067873302,0.3197586726998492,-0.03167420814479638,0.4298642533936653,0.09079382093316521,0.30769230769230765,-0.13394145070615648,0.5321314959550254
order-ops,3,17,112,51,51,14,0.23529411764705882,0.11764705882352941,0.3529411764705882,0.08295625942684769,0.05279034690799398,0.11764705882352942,0.15233785822021115,0.04675716440422322,0.26696832579185525,0.0196078431372549,0.0,0.058823529411764705,0.0030165912518853697,0.0,0.007541478129713425,0.016591251885369532,-0.006033182503770739,0.058823529411764705,0.13574660633484162,0.036199095022624424,0.244343891402715,-0.09502262443438922,0.36651583710407243,0.04761904761904761,0.22832722832722832,-0.19728986699574932,0.46878307966543253
order-ops,3,18,113,51,51,14,0.21568627450980393,0.11764705882352941,0.3333333333333333,0.08748114630467574,0.05580693815987934,0.12368024132730016,0.1282051282051282,0.025641025641025637,0.23831070889894418,0.0,0.0,0.0,0.010558069381598796,0.004524886877828055,0.01809954751131222,-0.010558069381598796,-0.01809954751131222,-0.004524886877828055,0.13876319758672695,0.03619909502262443,0.24886877828054296,-0.09200603318250389,0.3695324283559578,0.03205128205128205,0.2571765571182548,-0.194273275743864,0.4717996709173179
order-ops,3,19,114,51,51,14,0.19607843137254902,0.09803921568627451,0.3137254901960784,0.07390648567119155,0.04374057315233786,0.110105580693816,0.12217194570135745,0.025641025641025637,0.2277526395173454,0.1568627450980392,0.058823529411764705,0.2549019607843137,0.02714932126696833,0.013574660633484163,0.04223227752639518,0.12971342383107087,0.04223227752639517,0.22926093514328805,-0.0075414781297134265,-0.11463046757164405,0.10105580693815987,-0.23831070889894426,0.2232277526395174,-0.10096153846153845,0.11936694770746463,-0.3405779514603044,0.3254949952008775
order-ops,3,20,115,51,51,14,0.17647058823529413,0.0784313725490196,0.2941176470588235,0.04826546003016592,0.02564102564102564,0.07541478129713423,0.12820512820512822,0.03318250377073906,0.23529411764705882,0.23529411764705882,0.11764705882352941,0.3529411764705882,0.022624434389140274,0.00904977375565611,0.037707390648567124,0.2126696832579185,0.10558069381598792,0.3303167420814479,-0.08446455505279037,-0.20965309200603316,0.04072398190045248,-0.3152337858220212,0.14630467571644046,-0.1964285714285714,0.07051282051282051,-0.4175010283833813,0.24857191827780056
order-ops,3,21,116,51,51,14,0.21568627450980393,0.11764705882352941,0.3333333333333333,0.06334841628959276,0.037707390648567124,0.09351432880844646,0.15233785822021115,0.04675716440422323,0.2639517345399699,0.1568627450980392,0.058823529411764705,0.2549019607843137,0.028657616892911013,0.015082956259426848,0.04524886877828054,0.12820512820512822,0.033182503770739065,0.23378582202111614,0.02413273001508295,-0.08144796380090497,0.12971342383107093,-0.20663650075414788,0.25490196078431376,-0.0849364954075775,0.16722408026755853,-0.308903743315508,0.35716920334567387
order-ops,3,22,117,51,51,14,0.17647058823529413,0.0784313725490196,0.2941176470588235,0.05279034690799396,0.02865761689291102,0.0799396681749623,0.12368024132730011,0.02714932126696831,0.2337858220211161,0.13725490196078433,0.058823529411764705,0.23529411764705882,0.024132730015082957,0.012066365007541479,0.037707390648567124,0.11312217194570136,0.025641025641025644,0.21266968325791855,0.010558069381598789,-0.1191553544494721,0.138763197586727,-0.22021116138763205,0.24132730015082962,-0.14548494983277593,0.16410256410256413,-0.32247840394899213,0.34359454271218975
order-ops,3,23,118,51,51,14,0.19607843137254902,0.09803921568627451,0.3137254901960784,0.07390648567119155,0.04524886877828055,0.10558069381598795,0.12217194570135746,0.02564102564102564,0.22926093514328805,0.11764705882352941,0.0392156862745098,0.21568627450980393,0.02564102564102564,0.013574660633484163,0.03921568627450981,0.09200603318250376,0.010558069381598794,0.1885369532428356,0.030165912518853685,-0.10256410256410256,0.1644042232277526,-0.20060331825037714,0.26093514328808454,-0.13960223537146613,0.19883978193918367,-0.30287056081173724,0.36320238584944464
order-ops,3,24,119,51,51,14,0.17647058823529413,0.0784313725490196,0.2941176470588235,0.03167420814479638,0.013574660633484163,0.05279034690799397,0.14479638009049772,0.05279034690799396,0.24886877828054302,0.0784313725490196,0.0196078431372549,0.1568627450980392,0.03167420814479637,0.019607843137254905,0.04374057315233787,0.04675716440422323,-0.016591251885369536,0.12669683257918551,0.09803921568627451,-0.018137254901960782,0.21719457013574658,-0.13273001508295634,0.32880844645550533,-0.046475290697674414,0.22931785195936133,-0.23499725764431645,0.43107568901686544
order-ops,3,25,120,51,51,14,0.2549019607843137,0.13725490196078433,0.37254901960784315,0.061840120663650085,0.0407239819004525,0.08446455505279037,0.19306184012066374,0.08597285067873303,0.3107088989441931,0.19607843137254902,0.09803921568627451,0.3137254901960784,0.10708898944193063,0.07993966817496233,0.13574660633484165,0.08898944193061845,-0.016591251885369543,0.20361990950226244,0.10407239819004527,-0.03167420814479638,0.24283559577677225,-0.12669683257918557,0.3348416289592761,-0.06695535551918529,0.2582417582417582,-0.22896407514054568,0.4371088715206362
order-ops,3,26,121,51,51,14,0.27450980392156865,0.1568627450980392,0.39215686274509803,0.055806938159879346,0.03619909502262444,0.07696078431372223,0.21870286576168932,0.10859728506787329,0.33484162895927605,0.1568627450980392,0.058823529411764705,0.25490196078431376,0.09351432880844641,0.07239819004524888,0.11613876319758673,0.06334841628959276,-0.03318250377073908,0.17496229260935142,0.1553544494720965,0.02111613876319758,0.2911387631975835,-0.07541478129713433,0.38612368024132737,-0.0437869822485207,0.33538461538461545,-0.17768202385849444,0.4883909228026875
order-ops,3,27,122,51,51,14,0.27450980392156865,0.1568627450980392,0.39215686274509803,0.06033182503770741,0.03921568627450981,0.08446455505279034,0.21417797888386128,0.10558069381598793,0.33031674208144796,0.1568627450980392,0.058823529411764705,0.25490196078431376,0.07993966817496229,0.061840120663650085,0.09954751131221722,0.07692307692307696,-0.019607843137254916,0.18853695324283556,0.13725490196078433,0.0030165912518853692,0.2730015082956259,-0.09351432880844651,0.36802413273001516,-0.05714359964359964,0.31181318681318676,-0.19578157136980662,0.47029137529137527
order-ops,3,28,123,51,51,14,0.23529411764705882,0.11764705882352941,0.3529411764705882,0.06485671191553546,0.0407239819004525,0.09200603318250376,0.17043740573152344,0.07390648567119155,0.27601809954751133,0.11764705882352941,0.0392156862745098,0.21568627450980393,0.058823529411764726,0.04223227752639519,0.07692307692307693,0.0588235294117647,-0.02564102564102565,0.1568627450980392,0.11161387631975869,0.0090497737556561,0.21719457013574658,-0.11915535444947215,0.34238310708898956,-0.03402427490542246,0.2647058823529412,-0.22142259701083225,0.44465034965034966
order-ops,3,29,124,51,51,14,0.2549019607843137,0.13725490196078433,0.37254901960784315,0.048265460030165915,0.028657616892911013,0.0708898944193062,0.20663650075414786,0.10256410256410253,0.3212669683257918,0.0784313725490196,0.0196078431372549,0.1568627450980392,0.049773755656108594,0.03469079939668176,0.06787330316742082,0.028657616892911013,-0.0407239819004525,0.11312217194570139,0.1779788838612368,0.0889894419306184,0.2790346907993967,-0.05279034690799403,0.4087481146304677,0.06947890818858563,0.29538461538461547,-0.15505758946935413,0.5110153571918278
