criterion,task,stratum,n_items,loop,jlens_exit3_any_hit,jlens_exit3_any_hit_ci_low,jlens_exit3_any_hit_ci_high,jlens_exit3_any_control,jlens_exit3_any_control_ci_low,jlens_exit3_any_control_ci_high,jlens_exit3_any_excess,jlens_exit3_any_excess_ci_low,jlens_exit3_any_excess_ci_high,logitlens_any_hit,logitlens_any_hit_ci_low,logitlens_any_hit_ci_high,logitlens_any_control,logitlens_any_control_ci_low,logitlens_any_control_ci_high,logitlens_any_excess,logitlens_any_excess_ci_low,logitlens_any_excess_ci_high,difference,ci_low,ci_high,cluster_ci_low,cluster_ci_high
historical,order-ops,passing,31,3,0.45161290322580644,0.29032258064516125,0.6129032258064516,0.19354838709677424,0.141439205955335,0.250620347394541,0.25806451612903225,0.08188585607940445,0.4367245657568238,0.7096774193548387,0.5483870967741934,0.8709677419354835,0.6352357320099256,0.5756823821339949,0.6972704714640197,0.07444168734491313,-0.08684863523573201,0.228287841191067,0.1836228287841191,-0.0024813895781637986,0.3722084367245657,-0.07698135198135198,0.41310872589942343
historical,order-ops,passing,31,4,0.8709677419354839,0.7419354838709675,0.9677419354838708,0.6625310173697272,0.6054590570719602,0.7196029776674938,0.20843672456575688,0.07940446650124067,0.32258064516129037,0.9032258064516129,0.8064516129032253,0.9999999999999998,0.6501240694789084,0.5930521091811414,0.707196029776675,0.2531017369727047,0.13647642679900743,0.3548387096774193,-0.0446650124069479,-0.11910669975186104,0.012406947890818863,-0.145748987854251,0.01619433198380567
historical,order-ops,failing,20,1,0.0,0.0,0.0,0.011538461538461539,0.0,0.02307692307692308,-0.011538461538461539,-0.02307692307692308,0.0,0.85,0.7,1.0,0.573076923076923,0.4923076923076924,0.6500000000000001,0.27692307692307694,0.09615384615384615,0.4423076923076923,-0.2884615384615385,-0.4538461538461538,-0.10769230769230768,-0.4751234060057589,-0.08204714640198545
historical,order-ops,failing,20,2,0.4,0.2,0.6000000000000001,0.20384615384615384,0.1230769230769231,0.2807692307692308,0.19615384615384618,0.01923076923076923,0.37692307692307686,0.85,0.7,1.0,0.6423076923076922,0.5653846153846154,0.726923076923077,0.20769230769230768,0.049999999999999996,0.34615384615384615,-0.011538461538461543,-0.16153846153846158,0.12307692307692308,-0.10139860139860139,0.13286713286713284
historical,order-ops,failing,20,3,0.3,0.1,0.5,0.18846153846153846,0.11153846153846154,0.2730769230769231,0.11153846153846152,-0.05000000000000002,0.2846153846153846,0.75,0.55,0.9000000000000002,0.5807692307692309,0.5192307692307694,0.6500000000000001,0.1692307692307692,-0.0307692307692308,0.3538461538461539,-0.05769230769230767,-0.22307692307692312,0.1076923076923077,-0.24886877828054305,0.13461538461538458
historical,order-ops,failing,20,4,0.75,0.55,0.9000000000000002,0.5807692307692307,0.5115384615384616,0.6423076923076925,0.1692307692307692,-0.034615384615384624,0.35,0.75,0.55,0.9000000000000002,0.5961538461538461,0.5192307692307693,0.6769230769230771,0.15384615384615383,-0.03076923076923077,0.3230769230769231,0.015384615384615389,-0.04230769230769232,0.08076923076923079,-0.040485829959514164,0.06293706293706294
strict_numeric,multihop,passing,36,1,0.027777777777777776,0.0,0.08333333333333333,0.03140688642606801,0.024154589371980676,0.0398550724637681,-0.003629108648290234,-0.03864734299516906,0.057971014492753624,0.5,0.33333333333333337,0.6666666666666667,0.106771573363645,0.07568438003220612,0.13902031827223632,0.3932284266363551,0.24033816425120774,0.5420041204887752,-0.3968575352846454,-0.5600570119352088,-0.22438518281708852,-0.5691374965133318,-0.2200580055759084
strict_numeric,multihop,passing,36,2,0.05555555555555555,0.0,0.1388888888888889,0.04955834991001232,0.03099838969404186,0.07017263427109974,0.005997205645543246,-0.05797101449275362,0.09250970919768874,0.6944444444444444,0.5277777777777779,0.8333333333333336,0.09952519655205079,0.07045088566827697,0.12980945699535834,0.5949192478923937,0.4447582172965804,0.7336327495974233,-0.5889220422468503,-0.7374739509330301,-0.433023704650943,-0.7332428868286445,-0.42935734768215594
strict_numeric,multihop,passing,36,3,0.1388888888888889,0.027777777777777776,0.25,0.04958203087998484,0.03220611916264089,0.06903594771241829,0.08930685800890406,-0.01610305958132045,0.2145081462536705,0.75,0.6111111111111112,0.8888888888888891,0.09952519655205078,0.07094226579520697,0.12891328028796062,0.6504748034479495,0.5136876006441222,0.7761730960500137,-0.5611679454390451,-0.7218196457326892,-0.3852177465188975,-0.7175831202046039,-0.3801506109690258
strict_numeric,multihop,passing,36,4,0.75,0.6111111111111112,0.8888888888888891,0.09710973761485271,0.07094004570427204,0.12425996968835844,0.6528902623851475,0.5095708120204603,0.7834656507530544,0.7777777777777778,0.638888888888889,0.8888888888888892,0.09952519655205078,0.07165861513687599,0.1288244766505636,0.6782525812257273,0.5487095351425594,0.794913179643838,-0.02536231884057971,-0.13969404186795492,0.08816425120772947,-0.15652173913043468,0.09135375494071098
strict_numeric,multihop,failing,54,1,0.037037037037037035,0.0,0.09259259259259259,0.03063934613189616,0.022848189195162773,0.04001689242524707,0.00639769090514087,-0.034428961095818625,0.06413309005554729,0.42592592592592593,0.2962962962962963,0.5555555555555556,0.09116454763220933,0.06974501162134768,0.11365685072788939,0.3347613782937166,0.20794495364420673,0.4665696748331846,-0.3283636873885756,-0.46586052698051844,-0.19145600765001358,-0.4715092331700551,-0.19027127620746728
strict_numeric,multihop,failing,54,2,0.018518518518518517,0.0,0.05555555555555555,0.03757380568974772,0.020933977455716585,0.05555555555555555,-0.0190552871712292,-0.05018786902844874,0.024154589371980676,0.48148148148148145,0.35185185185185175,0.611111111111111,0.09490996990042684,0.07453297092024015,0.116101149493133,0.3865715115810546,0.2536920149065226,0.5194976971729395,-0.4056267987522839,-0.5377591269521483,-0.2737293097833746,-0.5559421811316444,-0.2694451024648398
strict_numeric,multihop,failing,54,3,0.14814814814814814,0.05555555555555555,0.24074074074074073,0.05161290968667131,0.03739619841495375,0.06667038817233335,0.09653523846147684,0.009558982580702624,0.1944916311334301,0.5,0.3703703703703703,0.6296296296296295,0.09976062191646677,0.07859040911290852,0.12188749583521247,0.40023937808353327,0.274516432531385,0.5260033677049062,-0.3037041396220565,-0.4268922597159132,-0.18428520081933797,-0.4402616162387319,-0.18353445663602042
strict_numeric,multihop,failing,54,4,0.4444444444444444,0.31481481481481477,0.5740740740740741,0.09327191832822246,0.07241734870216503,0.11472688890491188,0.35117252611622196,0.2233528589410624,0.48190813362381985,0.46913580246913583,0.339506172839506,0.5987654320987654,0.09893968162408573,0.07852994458653027,0.12023404868713165,0.3701961208450502,0.24581824260576443,0.4944529477977167,-0.01902359472882815,-0.11755259561103262,0.07787940860724284,-0.121507754266174,0.0796024586294302
