task,fit_id,metric,value,sign
order-ops,5,loop4_any_layer,-0.016591251885369536,negative
order-ops,1,loop1_depth_slope,-0.4699495182688459,negative
order-ops,2,loop1_depth_slope,-0.44370055714593526,negative
order-ops,3,loop1_depth_slope,-0.4235848185428016,negative
order-ops,4,loop1_depth_slope,-0.4438737033274849,negative
order-ops,5,loop1_depth_slope,-0.2940714747437438,negative
order-ops,1,loop2_depth_slope,0.2574606765783237,positive
order-ops,2,loop2_depth_slope,0.20256564164127194,positive
order-ops,3,loop2_depth_slope,0.19708652691845974,positive
order-ops,4,loop2_depth_slope,0.18947963800904977,positive
order-ops,5,loop2_depth_slope,0.21653661464585838,positive
order-ops,1,loop3_depth_slope,-0.23432065133745808,negative
order-ops,2,loop3_depth_slope,-0.24917274602148545,negative
order-ops,3,loop3_depth_slope,-0.2669490873272386,negative
order-ops,4,loop3_depth_slope,-0.2405846954166282,negative
order-ops,5,loop3_depth_slope,-0.20710591929079322,negative
order-ops,1,loop4_depth_slope,-0.07169021454735743,negative
order-ops,2,loop4_depth_slope,-0.07964339581986636,negative
order-ops,3,loop4_depth_slope,-0.07863914796687907,negative
order-ops,4,loop4_depth_slope,-0.09900883430295196,negative
order-ops,5,loop4_depth_slope,-0.09259857789269554,negative
