loop,physical_layer,probe,logit_lens,j_lens,logit_lens_one_form,j_lens_one_form
1,31,0.5972222222222222,0.8454861111111112,0.008680555555555556,0.8333333333333334,0.3055555555555556
1,32,0.5954861111111112,0.8038194444444444,0.22395833333333334,0.7899305555555556,0.3524305555555556
1,33,0.5972222222222222,0.8402777777777778,0.3871527777777778,0.8090277777777778,0.390625
1,34,0.5989583333333334,0.8090277777777778,0.3871527777777778,0.7986111111111112,0.3767361111111111
1,35,0.6111111111111112,0.8315972222222222,0.3663194444444444,0.8333333333333334,0.3420138888888889
1,36,0.6111111111111112,0.8229166666666666,0.4166666666666667,0.8194444444444444,0.3680555555555556
1,37,0.6163194444444444,0.6666666666666666,0.3298611111111111,0.5572916666666666,0.1684027777777778
1,38,0.6111111111111112,0.7326388888888888,0.3454861111111111,0.625,0.1909722222222222
1,39,0.6180555555555556,0.7256944444444444,0.3142361111111111,0.6267361111111112,0.1371527777777778
1,40,0.5972222222222222,0.6319444444444444,0.3090277777777778,0.53125,0.08333333333333333
1,41,0.6197916666666666,0.6302083333333334,0.3611111111111111,0.5208333333333334,0.08506944444444445
1,42,0.6059027777777778,0.6701388888888888,0.3385416666666667,0.5642361111111112,0.08333333333333333
1,43,0.5711805555555556,0.6631944444444444,0.2569444444444444,0.5607638888888888,0.08333333333333333
1,44,0.5798611111111112,0.6423611111111112,0.2777777777777778,0.5434027777777778,0.09722222222222222
1,45,0.5746527777777778,0.4791666666666667,0.3506944444444444,0.4375,0.10416666666666667
1,46,0.5746527777777778,0.4079861111111111,0.3680555555555556,0.4079861111111111,0.4479166666666667
1,47,0.5694444444444444,0.4097222222222222,0.3715277777777778,0.4097222222222222,0.15104166666666666
1,48,0.5503472222222222,0.4079861111111111,0.3697916666666667,0.4079861111111111,0.12152777777777778
2,1,0.5572916666666666,0.4184027777777778,0.4045138888888889,0.4079861111111111,0.2743055555555556
2,2,0.5659722222222222,0.5,0.5,0.453125,0.4756944444444444
2,3,0.5677083333333334,0.3697916666666667,0.4930555555555556,0.3732638888888889,0.4791666666666667
2,4,0.5763888888888888,0.3489583333333333,0.3784722222222222,0.375,0.16493055555555555
2,5,0.5850694444444444,0.3402777777777778,0.3541666666666667,0.3923611111111111,0.14583333333333334
2,6,0.5972222222222222,0.4635416666666667,0.3524305555555556,0.3958333333333333,0.1440972222222222
2,7,0.5989583333333334,0.4444444444444444,0.3420138888888889,0.4913194444444444,0.08854166666666667
2,8,0.5694444444444444,0.4340277777777778,0.3611111111111111,0.3767361111111111,0.11458333333333333
2,9,0.5694444444444444,0.3958333333333333,0.3732638888888889,0.4427083333333333,0.10069444444444445
2,10,0.5746527777777778,0.2309027777777778,0.3680555555555556,0.4444444444444444,0.08854166666666667
2,11,0.5538194444444444,0.3871527777777778,0.3715277777777778,0.3559027777777778,0.08854166666666667
2,12,0.5399305555555556,0.3142361111111111,0.3732638888888889,0.2795138888888889,0.11805555555555555
2,13,0.53125,0.1753472222222222,0.3784722222222222,0.1440972222222222,0.125
